tx_hash,top_project,top_pool,size_usd,observed_spread_fair_lag_bps,routing,version,platform,wallet_name,token_in_symbol,token_out_symbol,usd_amount_shown_to_user
0x49191e77bc917a24fe81bf8a54e3d332206d86f6c1b3a08fcb0e3086ae17ef07,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,6532.0,6.2,uniswap_x_v2,X,Web,metamask,ASTEROID,USDC,136345.44000000000000000000000000000000000000
0xd06c3794cf3eff803e7e17d7b31a23f8ecec53df5434db17f4c847512e89832f,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,2809.0,-0.7,uniswap_x_v2,X,Web,phantom,ASTEROID,ETH,26033.50000000000000000000000000000000000000
0x049183c0756b4f3bf3e9b07e78dc0b0f1f94515d63e17ee96d5fe51bb067dd7b,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,498.0,-0.4,uniswap_x_v2,X,Web,1inch wallet,USDC,AIB,487.79000000000000000000000000000000000000
0xe4eab6fe3afbc4d021b9f13d0a6702663c615fda5b7c5c5d51aaf9afdaf12c76,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,2333.0,-1.5,uniswap_x_v2,X,Web,rabby wallet,AI,ETH,2289.53000000000000000000000000000000000000
0x2376b8b484832f5e4168764161ebc8399f938bf277a36ea5362474b791961306,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,4193.0,2.4,uniswap_x_v2,X,Web,rabby wallet,USDT,ASTEROID,59668.33000000000000000000000000000000000000
0x26dc55a6fcf1f103fcf0a4bccfd2d2cb9004662cbe0300d829deb87fc2a7b204,balancer,0x386a6f76adbd1bc8e47ae278ad0d932a535f76c1,524.0,32.7,uniswap_x_v2,X,Web,okx wallet,UPEG,USDT,2095.86000000000000000000000000000000000000
0xfcd38a5387a11e20c034df5c7d73d471e8b2a65cd4147bf7486dd4a799f9b66e,balancer,0x303e85f0415fa33a715adde4d6c52e04200a84d5,767.0,32.6,uniswap_x_v2,X,Web,okx wallet,MPL,USDT,762.81000000000000000000000000000000000000
0xb93bdf9fd352ffb68b4cde34f8e7d6fa154efb4d2e86994785027fc8390a2b1d,balancer,0x50f7d62bde591982e9feeb30de3b6963b3dde2b4,1226.0,34.2,uniswap_x_v2,X,Web,metamask,UPEG,ETH,1797.75000000000000000000000000000000000000
0xda3a1953cff769b72f549e85e5a89fbad3d30bbddb9d2abbb276b2fe54bbf6c0,balancer,0xb357910a4500e9f8e9417eba6e4d5a2d2fa5e584,2089.0,32.9,uniswap_x_v2,X,Web,trust wallet,USDT,UPEG,7410.89000000000000000000000000000000000000
0x356d7312b509e1221e5221af13fa40dfbbc77642848717f115b89377d981db44,balancer,0x18a7cc1fdff097f607573a2373b1d640b8b796c5,5126.0,32.5,uniswap_x_v2,X,Mobile,Uniswap Wallet,SAIKO,USDC,5418.34000000000000000000000000000000000000
0x6a54fa94710c1d38db3e0322efb00cfcb8d352371d6e285783adec8a553b4957,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,2158.0,-6.3,uniswap_x_v2,X,Web,phantom,ASTEROID,USDC,19855.87000000000000000000000000000000000000
0x63195baa8c44b0682bd58f83ade1a789e352d741f22a9f6dc11f24d94c9e2306,balancer,0x74dcf5cd9284209f12eaa03a22afd69a285fb0bc,1018.0,29.4,uniswap_x_v2,X,Web,rabby wallet,USDC,sato,1016.95000000000000000000000000000000000000
0x6655423fa4a1ad13f3d75ab981f11bac4c160561d2cf6e4401686db5d011e520,balancer,0x0e5b8fc21597e59fa6d55efa2b0e62d16c135ca6,4170.0,33.7,uniswap_x_v2,X,Web,rabby wallet,USDC,sato,4092.11000000000000000000000000000000000000
0xc147fdea03e8c08cc8f8d8523c1b26b7ba79c53ad3702996384ae759c767dd5c,balancer,0x0e5b8fc21597e59fa6d55efa2b0e62d16c135ca6,1002.0,29.9,uniswap_x_v2,X,Web,metamask,UPEG,ETH,2005.77000000000000000000000000000000000000
0x94dad5e393ff453731186ab10f101dd699f8c2b62ec64c70d4fa92ec3413090f,balancer,0x0e5b8fc21597e59fa6d55efa2b0e62d16c135ca6,996.0,33.4,uniswap_x_v2,X,Web,rabby wallet,USDC,sato,995.23000000000000000000000000000000000000
0x4d97b4a079ff96e5aa28e00df4e26bafcc5e2043f6111263a890b3d68bb48e19,balancer,0x0e5b8fc21597e59fa6d55efa2b0e62d16c135ca6,2264.0,34.5,uniswap_x_v2,X,Web,phantom,USDT,sato,9261.80000000000000000000000000000000000000
0x9f21409d4b74916eab895d00354c0118e7c1ee46506b2fad49681221f2350949,balancer,0x000000000004444c5dc75cb358380d2e3de08a90,111.0,-4.7,uniswap_x_v2,X,Mobile,Uniswap Wallet,LOCK,ETH,437.97000000000000000000000000000000000000
0x8e28eafd2f81546c9131585769444e49a2a80f7daf5007cd9aa0e88d7756018a,balancer,0xd501d6f901b8471c4290a1ff54fd7cc45dbcfd9d,1381.0,33.6,uniswap_x_v2,X,Web,rabby wallet,ASTEROID,ETH,12594.44000000000000000000000000000000000000
0x8d4397da5af20c59ccc0bf9ad577b03e873d2834444cf4d55abe71c72619909b,balancer,0xd501d6f901b8471c4290a1ff54fd7cc45dbcfd9d,993.0,32.9,uniswap_x_v2,X,Web,metamask,USDT,sato,988.81000000000000000000000000000000000000
0xeefab9b57263f46388cba40f06284cd7bbdb2a9f1ff093dabab6f33906c423db,balancer,0xd501d6f901b8471c4290a1ff54fd7cc45dbcfd9d,765.0,32.6,uniswap_x_v2,X,Web,metamask,USDT,sato,986.01000000000000000000000000000000000000
0x96b76e5968bc7bd6551efffc37c031623c5aa353debb7fed5be11b8ed4eb4bdb,balancer,0xe0af30978b4465b73b49e4f97a999fcd021f7cc9,771.0,29.6,uniswap_x_v2,X,Web,tokenpocket,UPEG,ETH,
0xb9b27cda3690c7f5d7710dad02c5e719dbe26d965791f7f866b7c4640367f44c,balancer,0xe0af30978b4465b73b49e4f97a999fcd021f7cc9,695.0,28.5,uniswap_x_v2,X,Web,metamask,USDT,ANDY,
0x23d5ed68067c3ac14058b719e6df0c0108c1481363f0928e2b33c29daadd8b60,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,597.0,33.0,uniswap_x_v2,X,Web,metamask,USDT,VITARNA,2883.55000000000000000000000000000000000000
0x53352179333d0548a5e5ff54fc44c26807ef04a27314b33240b03eb7783ea3f6,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,1058.0,34.7,uniswap_x_v2,X,Web,trust wallet,BLOCK,ETH,1055.55000000000000000000000000000000000000
0x76ae1944cb2fe9ce4f3b6e767b084dc6c5da64aac6cedcd0487ce804a62ca159,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,1318.0,33.2,uniswap_x_v2,X,Web,trust wallet,BUSD,WBTC,1311.14000000000000000000000000000000000000
0x4e1c9aa080c8c84d5645a05c86e96844efa8f77176f921fc98b60d440853e649,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,1111.0,32.0,uniswap_x_v2,X,Web,metamask,GEAR,USDT,1105.10000000000000000000000000000000000000
0x9fdbb0eca81ab6c4269bece3cdb740e0c8eb03729f5ba82e253ff9ecdcf02f4d,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,163.0,34.0,uniswap_x_v2,X,Web,metamask,UPEG,ETH,1639.50000000000000000000000000000000000000
0x8dfe6a756b62841d9a383cd75d5797cd62a50d9d67bbcd563b25fbafe9740d55,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,3128.0,33.2,uniswap_x_v2,X,Web,phantom,sato,ETH,15581.50000000000000000000000000000000000000
0xbe4aca2a298ae53de747eea7c68ac228a0a0c90e9276d50e7fbbfa093a0c6cb7,curve,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,924.0,28.2,uniswap_x_v2,X,Mobile,Uniswap Wallet,UPEG,ETH,2644.40000000000000000000000000000000000000
0x0808ad5f619478cb7b7a746b79f9c962fb7d2c7745a9237f09b90ac5b534b507,curve,0x70c517e64af39ddb051d58566fcd3e2393367ef1,3831.0,33.7,uniswap_x_v2,X,Web,okx wallet,USDC,SLOP,3733.56000000000000000000000000000000000000
0xd1a35cbb70c19d560fc801b35b2fb97e8d2cc8681b4a4bf734ad13447e3daa23,curve,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,996.0,29.0,uniswap_x_v2,X,Web,metamask,USDT,TRAC,9916.17000000000000000000000000000000000000
0x49ac1db0650f9c6264dd36c90d163bfd1fcec2ff3875a39b9665ca9a3f2c03a0,curve,0xa3f07a2996639368a2b539d1df08c9ae0f992dbd,586.0,26.9,uniswap_x_v2,X,Web,metamask,VITARNA,ETH,2918.90000000000000000000000000000000000000
0xdff78dcc2c898d26f99f6dc9ce7cf12d755fd858b5ee64a212841194dcfb39e6,curve,0x553e528713688b85cba346216d6edd12793548a6,994.0,33.4,uniswap_x_v2,X,Web,metamask,USDT,UNICODED,999.54000000000000000000000000000000000000
0x3eea2262dd42357ca709afd5b120100cdd0eff6c77bcf1df3f97143fa8d80db1,balancer,0x69d460e01070a7ba1bc363885bc8f4f0daa19bf5,118.0,-4.3,uniswap_x_v2,X,Web,trust wallet,DYDX,ETH,973.35000000000000000000000000000000000000
0x53b40603f2f320693174a8af4540f7af90d9d3f59d7f8e315acd790bf3c69fe0,curve,0x89c97135859b3a96f29e2462b490643f46473b96,35205.0,28.1,uniswap_x_v2,X,Web,ledger wallet,TUSD,USDC,50169.90000000000000000000000000000000000000
0x41ee49944fdc4c49f514254d6d6569796fba679466d92d2515a1dbda0f099713,curve,0x89c97135859b3a96f29e2462b490643f46473b96,997.0,28.6,uniswap_x_v2,X,Web,metamask,USDC,ENJ,970.24000000000000000000000000000000000000
0x68910383f895aff242c55d2306d6cd956ef5dfecb880b1845defeaa0a985f121,curve,0x89c97135859b3a96f29e2462b490643f46473b96,1001.0,-1.9,uniswap_x_v2,X,Web,metamask,USDC,ENJ,1906.58000000000000000000000000000000000000
0x586bca2e5b559e2d7cc1e5db120f3980559ad9541ef94cf2e8f6beb2c0f225e0,curve,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,614.0,-11.7,uniswap_x_v2,X,Web,binance wallet,ASTEROID,USDC,8892.01000000000000000000000000000000000000
0x482809854fea473be8ced2a0f91677b8702c7eba5d88851dffaf7d1e51a808ff,curve,0x89c97135859b3a96f29e2462b490643f46473b96,102.0,121.9,uniswap_x_v2,X,Web,tokenpocket,sato,USDT,1622.98000000000000000000000000000000000000
